pais,seniority,salario_usd,ingles_avanzado,modalidad,industria,anios_exp,satisfaccion,skill_python,skill_sql,skill_power_bi,skill_tableau,skill_excel,skill_r,skill_dbt_airflow,skill_cloud_aws_gcp_azure,skill_inteligencia_artificial
EEUU,Semi-Senior,8150,True,Híbrido,Government,2.9,4.1,1,1,1,0,1,1,0,1,1
EEUU,Junior,6200,True,Presencial,E-commerce,2.2,4.3,1,0,0,0,1,0,0,0,1
EEUU,Semi-Senior,7800,True,Híbrido,Fintech,5.2,5.0,0,1,1,1,1,1,0,0,1
EEUU,Semi-Senior,8600,True,Híbrido,Media,5.4,3.8,1,0,0,1,1,1,0,1,1
EEUU,Junior,3600,True,Híbrido,Media,1.6,3.6,0,1,0,0,0,0,0,0,1
Argentina,Junior,900,False,Presencial,Manufactura,1.5,3.0,1,1,0,0,1,0,0,0,1
EEUU,Semi-Senior,9550,True,Híbrido,E-commerce,2.9,5.0,1,1,0,0,1,0,1,1,1
Argentina,Junior,1350,True,Híbrido,E-commerce,0.1,1.5,1,1,0,0,1,0,0,0,0
Argentina,Semi-Senior,2050,False,Remoto 100%,Tecnología/SaaS,5.1,3.0,1,0,1,1,1,0,1,0,1
Argentina,Senior,5050,False,Híbrido,Fintech,9.3,2.8,1,1,1,1,1,1,1,0,1
Argentina,Semi-Senior,2750,False,Remoto 100%,Banca,4.2,3.2,1,1,1,0,1,1,1,0,0
EEUU,Semi-Senior,8800,True,Híbrido,Finance,3.5,5.0,0,1,1,0,1,0,0,1,1
Argentina,Semi-Senior,2400,False,Remoto 100%,Telecomunicaciones,5.9,3.7,1,1,0,1,1,0,1,0,1
EEUU,Senior,14850,True,Híbrido,Tech/SaaS,12.4,2.9,1,1,1,1,1,0,0,0,0
EEUU,Senior,15600,True,Híbrido,Healthcare,14.6,3.6,1,1,1,0,1,1,1,0,1
Argentina,Semi-Senior,3250,True,Remoto 100%,Tecnología/SaaS,2.9,4.5,1,1,1,1,1,1,0,1,0
EEUU,Senior,12950,True,Híbrido,Consulting,11.2,4.4,1,1,0,1,1,1,1,1,1
Argentina,Semi-Senior,2250,False,Remoto 100%,Consultoría,5.2,2.9,0,1,1,1,1,1,0,1,1
EEUU,Junior,5700,True,Remoto 100%,Healthcare,1.1,3.3,1,1,1,1,1,0,0,0,0
EEUU,Semi-Senior,9000,True,Remoto 100%,Finance,4.1,3.1,1,1,1,1,1,0,0,1,1
EEUU,Senior,14100,True,Remoto 100%,E-commerce,7.8,3.4,1,1,0,1,1,0,1,1,1
EEUU,Junior,6200,True,Presencial,Tech/SaaS,1.8,3.8,1,1,0,1,1,0,0,0,1
EEUU,Junior,6750,True,Remoto 100%,Media,1.5,4.1,1,1,1,1,1,0,1,1,0
EEUU,Semi-Senior,9500,True,Híbrido,Retail,3.2,4.0,1,1,1,1,1,0,0,1,1
Argentina,Semi-Senior,1550,False,Remoto 100%,Manufactura,2.9,3.9,1,1,1,1,1,0,0,0,1
EEUU,Semi-Senior,8200,True,Híbrido,Fintech,2.9,3.8,1,1,0,1,1,1,1,1,1
Argentina,Senior,4850,True,Remoto 100%,Gobierno,14.1,3.5,1,1,1,1,1,0,0,0,1
EEUU,Semi-Senior,10000,True,Híbrido,Healthcare,4.2,4.4,1,1,1,1,1,1,0,0,0
Argentina,Semi-Senior,3000,True,Remoto 100%,E-commerce,5.2,3.0,1,1,1,0,1,1,0,0,1
Argentina,Semi-Senior,2750,True,Remoto 100%,Telecomunicaciones,4.3,4.2,0,0,1,0,1,0,0,1,0
Argentina,Junior,1350,False,Remoto 100%,Consultoría,1.1,3.5,0,1,1,0,1,0,1,1,1
Argentina,Junior,1050,True,Híbrido,Banca,1.5,3.2,1,1,1,0,1,0,0,0,0
EEUU,Senior,12400,True,Remoto 100%,Fintech,11.0,4.5,1,1,0,1,0,0,1,0,0
Argentina,Junior,1100,True,Remoto 100%,Retail,2.3,3.0,0,0,1,1,1,1,0,0,1
EEUU,Junior,7000,True,Remoto 100%,Consulting,0.9,3.6,1,1,1,1,0,0,0,0,1
Argentina,Semi-Senior,2800,True,Remoto 100%,Telecomunicaciones,3.4,4.0,1,1,1,1,0,0,0,0,1
EEUU,Semi-Senior,9100,True,Híbrido,Government,3.0,4.1,1,1,0,1,1,1,0,1,1
Argentina,Semi-Senior,2650,True,Híbrido,E-commerce,3.6,3.4,1,1,1,1,1,0,1,1,0
Argentina,Semi-Senior,2650,True,Remoto 100%,Retail,4.1,2.9,0,1,1,1,1,1,0,0,1
Argentina,Semi-Senior,2200,False,Híbrido,Telecomunicaciones,4.4,2.7,0,1,0,0,1,1,0,1,0
EEUU,Semi-Senior,8900,True,Híbrido,Retail,5.5,4.7,1,1,0,0,1,0,0,1,1
Argentina,Semi-Senior,2400,True,Remoto 100%,Retail,4.6,3.7,0,1,1,1,1,0,0,0,1
Argentina,Semi-Senior,1700,False,Remoto 100%,Manufactura,5.8,4.8,1,1,1,1,0,0,0,0,0
Argentina,Junior,800,False,Híbrido,Banca,2.4,3.3,1,1,1,1,1,0,0,0,1
Argentina,Semi-Senior,1850,False,Remoto 100%,Manufactura,4.4,3.3,1,1,0,1,1,0,0,0,0
Argentina,Junior,1000,False,Híbrido,Fintech,2.5,3.0,1,0,0,0,1,0,0,1,1
Argentina,Junior,900,False,Remoto 100%,Manufactura,1.8,3.3,1,1,1,0,1,1,0,1,0
EEUU,Junior,5950,True,Remoto 100%,Manufacturing,0.0,4.8,1,1,0,0,1,0,0,0,1
EEUU,Junior,5700,True,Remoto 100%,Healthcare,1.5,4.1,1,1,1,0,1,0,1,1,0
Argentina,Semi-Senior,2350,False,Remoto 100%,Consultoría,5.5,2.4,1,1,1,1,1,0,0,0,1
Argentina,Semi-Senior,2700,True,Híbrido,E-commerce,5.8,4.2,0,0,1,0,1,0,0,1,0
EEUU,Semi-Senior,6450,True,Presencial,Finance,5.4,4.5,1,1,0,1,1,0,0,1,0
EEUU,Semi-Senior,8500,True,Remoto 100%,Government,5.8,3.7,1,1,1,0,1,1,1,1,0
Argentina,Junior,1300,False,Presencial,Salud,0.3,3.1,1,1,1,1,1,0,0,0,0
EEUU,Semi-Senior,7900,True,Remoto 100%,Media,2.6,3.1,1,1,1,1,0,1,0,1,1
Argentina,Semi-Senior,1550,True,Híbrido,Gobierno,3.0,4.7,1,1,1,0,1,1,0,1,0
EEUU,Junior,4900,True,Presencial,Retail,0.7,4.0,1,1,1,1,0,0,1,0,1
EEUU,Semi-Senior,6850,True,Híbrido,Retail,4.4,3.1,1,1,0,0,0,1,0,1,1
Argentina,Junior,600,True,Presencial,Retail,0.0,3.4,0,1,0,1,1,1,0,0,1
Argentina,Senior,4350,True,Remoto 100%,Manufactura,6.1,3.6,1,1,1,0,1,1,1,1,1
EEUU,Senior,16450,True,Remoto 100%,Healthcare,7.3,4.7,1,1,1,1,1,1,1,1,1
EEUU,Junior,5550,True,Presencial,Retail,1.5,3.4,1,0,0,0,1,1,0,1,1
Argentina,Junior,1100,True,Híbrido,E-commerce,2.0,3.2,0,0,0,1,1,1,0,0,1
EEUU,Junior,6350,True,Remoto 100%,E-commerce,1.6,3.7,1,1,0,1,1,1,0,1,1
EEUU,Semi-Senior,7900,True,Híbrido,Retail,3.5,3.5,1,1,0,0,1,1,1,1,1
Argentina,Semi-Senior,2750,True,Remoto 100%,E-commerce,5.3,4.1,1,0,1,1,1,1,0,1,1
EEUU,Junior,6450,True,Remoto 100%,Media,2.2,4.0,1,1,0,1,1,1,0,1,1
Argentina,Semi-Senior,2200,False,Remoto 100%,Consultoría,5.4,2.6,0,1,1,1,1,0,1,0,1
EEUU,Semi-Senior,8500,True,Remoto 100%,Tech/SaaS,5.9,3.9,1,1,1,1,1,1,0,1,1
Argentina,Junior,1000,False,Híbrido,Banca,1.4,3.8,0,1,1,0,1,0,0,0,0
EEUU,Senior,13850,True,Presencial,E-commerce,9.5,3.2,0,1,0,0,0,1,1,1,1
EEUU,Junior,6200,True,Remoto 100%,Fintech,1.3,4.5,1,1,1,0,1,0,0,0,0
EEUU,Senior,16000,True,Híbrido,E-commerce,8.1,4.2,1,1,0,1,1,1,0,1,1
Argentina,Semi-Senior,1800,False,Remoto 100%,Gobierno,4.5,3.3,0,1,0,1,1,0,0,1,0
Argentina,Junior,1300,False,Presencial,Fintech,0.3,3.2,1,1,1,0,1,0,0,0,0
EEUU,Semi-Senior,8850,True,Remoto 100%,Finance,4.2,3.0,1,1,0,1,1,0,0,0,1
Argentina,Semi-Senior,2500,True,Híbrido,Telecomunicaciones,3.9,4.7,1,1,0,1,1,0,0,0,1
EEUU,Junior,6200,True,Híbrido,Media,2.4,3.5,1,1,0,1,1,0,0,1,1
EEUU,Senior,11300,True,Híbrido,Media,14.6,2.5,1,1,0,1,1,1,1,1,1
EEUU,Junior,6300,True,Presencial,Manufacturing,0.2,4.6,0,1,1,1,0,1,0,0,1
EEUU,Semi-Senior,9000,True,Híbrido,Finance,5.4,2.5,1,1,0,1,0,1,0,1,0
Argentina,Senior,4700,False,Remoto 100%,E-commerce,13.0,3.9,1,1,0,1,1,0,1,1,0
Argentina,Junior,750,False,Híbrido,Telecomunicaciones,1.6,2.6,0,1,0,1,1,0,1,0,1
Argentina,Semi-Senior,3150,True,Remoto 100%,Gobierno,3.1,2.8,0,1,1,1,0,0,1,1,1
EEUU,Junior,5000,True,Remoto 100%,Fintech,0.6,5.0,1,1,1,1,0,0,0,0,1
Argentina,Junior,1400,True,Híbrido,Consultoría,1.2,4.2,1,0,1,1,1,1,0,0,0
EEUU,Junior,5900,True,Remoto 100%,Retail,1.0,4.0,1,1,1,0,1,0,0,1,0
Argentina,Semi-Senior,2500,True,Remoto 100%,Retail,5.6,3.7,1,1,1,1,0,0,0,0,1
Argentina,Junior,850,True,Híbrido,Banca,0.9,4.4,1,1,0,0,1,0,0,0,0
Argentina,Semi-Senior,2500,False,Remoto 100%,Banca,3.2,3.7,1,1,0,0,1,0,1,1,1
Argentina,Junior,1250,True,Remoto 100%,Tecnología/SaaS,2.0,3.9,1,1,0,0,1,0,0,1,1
Argentina,Semi-Senior,2800,False,Remoto 100%,Tecnología/SaaS,4.3,3.6,1,1,1,1,1,0,1,0,1
EEUU,Semi-Senior,7650,True,Híbrido,E-commerce,5.4,2.9,1,1,0,1,0,0,1,0,0
EEUU,Senior,12100,True,Remoto 100%,Government,6.1,3.1,1,1,0,1,1,1,0,1,0
Argentina,Senior,4900,True,Presencial,Salud,13.6,3.0,1,1,1,1,1,1,0,1,1
Argentina,Senior,2800,False,Híbrido,Fintech,6.9,2.3,1,1,1,0,1,0,0,1,1
Argentina,Semi-Senior,2350,True,Remoto 100%,Banca,5.2,4.2,1,1,1,0,0,0,1,0,0
EEUU,Senior,14650,True,Presencial,Finance,14.6,3.7,1,1,0,0,0,0,0,1,1
Argentina,Junior,1050,False,Híbrido,Telecomunicaciones,0.5,4.0,1,1,0,1,1,0,0,0,0
Argentina,Junior,950,False,Remoto 100%,Banca,2.3,5.0,0,1,1,1,1,1,0,0,0
EEUU,Junior,5050,True,Remoto 100%,Consulting,1.4,4.8,0,1,1,1,1,0,1,1,0
Argentina,Semi-Senior,2200,False,Remoto 100%,Retail,3.3,4.4,1,1,0,1,1,1,0,1,1
EEUU,Junior,7500,True,Remoto 100%,E-commerce,2.5,3.6,1,1,0,1,1,0,1,1,0
EEUU,Junior,5400,True,Presencial,Government,0.4,4.2,1,1,0,0,1,1,0,0,0
EEUU,Senior,13850,True,Remoto 100%,Finance,9.7,4.9,1,1,0,1,1,1,1,1,1
Argentina,Junior,850,False,Presencial,Retail,2.2,2.6,1,0,0,1,1,0,1,0,0
EEUU,Senior,10900,True,Híbrido,Healthcare,6.6,3.2,1,1,0,1,1,0,1,1,1
Argentina,Senior,4650,True,Remoto 100%,Banca,6.9,3.2,1,1,1,0,1,0,0,1,0
Argentina,Senior,4750,True,Remoto 100%,E-commerce,7.7,4.0,1,1,1,1,0,1,1,1,1
Argentina,Senior,5000,True,Remoto 100%,Banca,8.7,4.5,1,1,1,0,1,0,0,1,0
Argentina,Semi-Senior,1850,False,Híbrido,Consultoría,3.0,3.4,0,1,1,1,1,0,0,1,1
EEUU,Junior,5700,True,Remoto 100%,Government,2.5,4.2,1,0,1,1,1,1,0,1,0
EEUU,Semi-Senior,10300,True,Remoto 100%,Healthcare,3.6,3.2,1,1,1,0,1,0,0,1,1
Argentina,Semi-Senior,2500,True,Remoto 100%,Manufactura,4.0,3.0,1,1,1,0,1,0,1,0,1
Argentina,Junior,1050,False,Híbrido,Retail,1.7,3.2,0,1,1,0,1,0,0,0,0
Argentina,Semi-Senior,2250,False,Remoto 100%,Fintech,4.9,3.2,1,0,1,0,1,0,0,0,1
Argentina,Semi-Senior,2350,True,Remoto 100%,Telecomunicaciones,5.2,3.6,1,1,1,0,1,0,0,0,1
EEUU,Semi-Senior,8550,True,Presencial,Finance,4.2,4.1,1,1,1,0,1,1,0,1,0
Argentina,Junior,1150,True,Presencial,Telecomunicaciones,1.0,4.1,1,1,1,0,1,0,0,1,1
Argentina,Senior,4050,True,Remoto 100%,Consultoría,6.8,4.6,1,1,1,1,1,0,0,0,0
Argentina,Semi-Senior,2750,True,Remoto 100%,Consultoría,2.9,3.8,1,1,1,1,1,0,0,0,1
EEUU,Junior,5050,True,Híbrido,Consulting,1.7,4.4,1,1,0,1,1,0,0,1,1
Argentina,Semi-Senior,2150,False,Híbrido,E-commerce,4.0,2.6,1,1,1,1,1,1,0,1,1
EEUU,Semi-Senior,7150,True,Remoto 100%,Finance,5.5,2.6,1,1,1,1,1,0,0,1,1
Argentina,Semi-Senior,2450,False,Remoto 100%,Gobierno,2.5,3.3,1,0,0,0,1,1,1,0,1
Argentina,Junior,650,False,Remoto 100%,Manufactura,0.7,4.3,1,1,1,0,1,0,0,1,0
EEUU,Semi-Senior,9850,True,Remoto 100%,Fintech,3.9,3.0,1,1,0,1,1,0,1,1,1
Argentina,Junior,1100,True,Híbrido,Salud,1.4,3.6,0,1,0,0,1,0,1,0,1
Argentina,Junior,900,False,Remoto 100%,Banca,1.1,3.3,0,1,1,1,1,0,0,0,0
Argentina,Junior,1000,False,Remoto 100%,Gobierno,0.5,4.2,0,1,0,0,1,0,0,0,1
Argentina,Senior,3700,False,Híbrido,Fintech,14.6,3.5,1,1,1,1,1,0,1,1,0
Argentina,Junior,900,True,Híbrido,Salud,1.9,4.7,1,1,1,0,1,0,0,0,1
Argentina,Senior,3450,True,Remoto 100%,Banca,8.5,4.1,1,1,1,0,1,0,0,1,0
Argentina,Semi-Senior,2550,True,Remoto 100%,Consultoría,4.5,2.8,1,1,1,1,1,0,0,0,1
EEUU,Semi-Senior,7850,True,Remoto 100%,Consulting,3.0,3.3,1,1,0,1,0,0,1,1,1
EEUU,Semi-Senior,8300,True,Remoto 100%,Media,4.0,2.5,1,1,0,1,1,1,0,1,1
Argentina,Semi-Senior,2150,False,Híbrido,Fintech,2.9,4.2,1,1,1,1,1,1,1,0,1
Argentina,Junior,1050,True,Presencial,Gobierno,2.1,3.4,1,0,0,0,0,1,0,0,0
Argentina,Junior,900,True,Presencial,Tecnología/SaaS,0.1,3.7,1,1,1,1,1,0,0,0,1
EEUU,Senior,10750,True,Remoto 100%,Media,8.6,4.3,1,1,0,1,0,0,0,0,1
Argentina,Semi-Senior,1800,False,Remoto 100%,Manufactura,4.1,3.6,1,1,0,0,1,0,0,1,1
EEUU,Semi-Senior,7150,True,Híbrido,Fintech,3.5,3.6,1,1,0,1,1,0,1,1,1
Argentina,Junior,1100,True,Híbrido,Retail,0.4,3.4,1,1,0,0,0,0,0,0,0
Argentina,Junior,1200,False,Presencial,Gobierno,0.9,3.7,1,1,1,0,1,0,0,0,0
EEUU,Semi-Senior,8250,False,Remoto 100%,E-commerce,4.2,3.8,1,1,1,1,1,0,1,1,1
Argentina,Junior,1500,True,Remoto 100%,Salud,1.0,2.5,1,1,1,0,1,0,0,0,0
